x    F1
2.191552273886794922e+01 6.770839691023803342e-01
5.760911518406380338e+01 1.207136103481833977e+00
1.060230415924721399e+02 1.731386327790250146e+00
2.205969037719465007e+02 3.684499681434708407e+00
3.940599831525311743e+02 5.580257758875740492e+00
5.503812987832874342e+02 7.445894044421487834e+00
4.305096111489889381e+02 6.469897551703239991e+00
4.927913952801222308e+02 6.958384929471616687e+00
2.887197261784468765e+02 4.573646833223255825e+00
3.829341459336293383e+02 5.058563168953977396e+00
1.537448359270181015e+02 2.641641327859391097e+00
1.844768342182210006e+02 3.165112018698061469e+00
